nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 EUCLYDES MARCOS PETTERSEN NETO,M,77,1,14,6,13,6, 15/08/1984,"229.414,98","39.458,55","32.301,23","28.593,33","36.303,64","35.945,83","21.880,35","11.556,55","10.510,19","6.865,31","6.000,00","0,00",0,"1.102.008,88","101.942,13","110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",0,0,"33.763,00",1
 FABIO HENRIQUE SANTANA DE CARVALHO,M,90,2,0,75,22,0, 19/06/1972,"368.974,61","40.955,79","38.278,23","46.688,34","53.420,14","51.837,95","35.534,63","55.589,55","24.846,87","10.956,64","10.828,96","37,51",0,"1.103.960,07","110.763,22","111.436,47","110.870,47","105.066,49","109.456,57","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",0,0,"33.763,00",
 FÁBIO RICARDO TRAD,M,90,1,1,88,3,0, 18/08/1969,"152.297,71","9.479,45","21.339,35","11.214,78","41.034,10","25.209,13","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50","0,00",0,"1.112.229,14","111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",0,0,"33.763,00",
 FABIO DE ALMEIDA REIS,M,80,8,4,35,1,0, 15/04/1977,"311.152,08","39.865,80","33.581,68","32.144,11","43.493,01","38.648,54","34.772,71","32.086,43","21.185,40","13.796,32","20.587,04","991,04",0,"1.107.209,05","108.307,92","109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23",0,0,"33.763,00",
 FÁBIO LUIZ SCHIOCHET FILHO,M,85,4,3,20,5,2, 31/05/1988,"366.563,96","37.195,31","40.305,37","42.043,11","46.815,31","43.700,43","50.167,04","38.185,13","25.939,12","21.593,26","17.300,62","3.319,26",0,"1.114.119,12","111.568,63","111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16",0,0,"33.763,00",
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,4,0,19,17,0, 22/12/1961,"279.623,33","37.959,25","45.891,80","34.431,36","27.698,63","36.101,94","23.280,97","25.058,29","19.706,66","16.954,06","11.293,22","1.247,15",0,"1.073.082,80","106.849,52","105.995,76","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",0,0,"33.763,00",
 FAUSTO RUY PINATO,M,77,3,12,43,11,11, 01/06/1977,"319.737,01","23.272,69","28.054,73","37.320,63","39.811,88","63.069,18","29.443,84","35.430,36","32.548,24","26.577,30","4.208,16","0,00",0,"980.822,68","91.753,84","90.661,58","91.078,38","93.641,40","98.083,43","98.203,30","101.733,13","105.365,38","105.151,12","105.151,12",0,0,"33.763,00",
 FELÍCIO LATERÇA DE ALMEIDA,M,84,1,7,103,6,6, 26/05/1967,"343.719,83","33.761,68","41.861,86","62.060,32","40.359,41","38.642,49","19.555,55","32.436,61","22.935,73","20.966,82","30.530,69","608,67",0,"1.070.004,37","103.822,74","108.245,62","111.562,78","109.721,17","92.281,25","106.166,20","108.227,55","109.988,01","108.902,30","111.086,75",0,0,"33.763,00",
 FELIPE AUGUSTO LYRA CARRERAS,M,77,11,4,70,41,1, 16/04/1975,"169.230,68","14.274,35","20.364,98","19.915,93","14.515,87","21.740,82","16.037,40","21.745,42","29.974,45","4.715,52","5.945,94","0,00",0,"1.110.530,22","108.137,52","111.659,58","111.659,58","111.659,58","111.659,58","111.571,02","109.331,88","111.617,16","111.617,16","111.617,16",0,0,"33.763,00",
 FELIPE RIGONI LOPES,M,86,0,6,84,32,7, 13/06/1991,"304.207,28","41.526,20","36.360,96","37.743,41","40.781,58","54.439,33","34.092,96","18.297,10","23.638,57","8.762,92","8.564,25","0,00",0,"961.510,10","97.934,05","100.493,35","100.959,56","100.959,56","104.522,55","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69",0,0,"33.763,00",
 LUIS FELIPE BONATTO FRANCISCHINI,M,86,4,2,26,39,1, 02/10/1991,"285.261,63","36.420,46","40.851,46","28.714,76","44.628,80","52.025,43","41.969,22","15.569,99","12.110,34","3.248,13","9.523,04","200,00",0,"1.107.177,89","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","110.754,73","107.237,53","107.993,61",0,0,"33.763,00",
 JOSÉ CARLOS VERAS DOS SANTOS,M,89,0,3,42,33,8, 10/08/1981,"337.620,48","23.450,32","50.658,26","60.586,84","37.074,81","65.132,56","29.707,30","34.668,74","24.844,59","5.992,91","5.504,15","0,00",0,"1.062.773,43","102.271,86","100.443,89","100.443,89","105.043,78","108.026,51","106.855,41","109.678,36","109.831,56","109.119,16","111.059,01",0,0,"33.763,00",
 CASSIO COELHO ANDRADE,M,70,0,22,36,25,15, 12/09/1981,"302.152,96","21.728,53","30.200,32","26.323,38","50.683,51","58.046,30","36.031,58","14.449,73","9.264,77","3.863,84","51.561,00","0,00",0,"1.114.161,17","111.653,55","111.594,40","111.574,68","111.574,68","111.574,68","111.574,67","110.238,62","111.444,93","111.465,48","111.465,48",0,0,"33.763,00",
 CARLOS ALBERTO ROLIM ZARATTINI,M,86,4,2,20,19,1, 08/06/1959,"297.144,40","27.151,54","32.367,11","64.118,33","25.278,01","55.777,06","28.292,59","25.051,27","14.054,68","10.433,06","13.858,47","762,28",0,"1.115.444,20","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42",0,0,"33.763,00",
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,0,6,30,16,8, 29/11/1963,"317.051,45","30.256,20","36.235,51","35.264,16","42.584,56","50.388,49","23.719,29","43.121,12","20.178,34","14.497,37","19.187,20","1.619,21",0,"1.093.456,69","111.574,69","111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73",0,0,"33.763,00",
 CELIO ALVES DE MOURA,M,88,4,0,55,34,0, 13/08/1953,"433.740,30","31.534,98","24.693,74","51.336,16","56.438,80","65.154,84","58.388,47","36.339,51","45.541,60","25.197,73","35.259,62","3.854,85",0,"1.115.443,80","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38",0,0,"33.763,00",
 CELIO ANTONIO DA SILVEIRA,M,88,0,4,31,6,1, 19/09/1959,"233.944,75","18.102,06","29.238,30","30.935,93","27.982,39","31.959,23","18.044,17","17.332,28","17.806,01","16.854,28","25.646,41","43,69",0,"1.113.420,47","111.671,79","111.671,79","111.671,79","111.671,79","111.671,79","110.968,96","109.631,33","111.578,65","111.441,29","111.441,29",0,0,"33.763,00",
 CELSO MALDANER,M,82,5,5,22,1,2, 30/08/1953,"315.669,00","24.041,12","30.121,77","39.390,58","32.327,41","41.007,63","27.013,34","28.086,87","25.892,83","22.035,17","45.612,04","140,24",0,"1.104.561,40","111.010,67","111.140,65","111.370,11","108.394,27","109.190,92","109.485,71","110.743,36","111.470,49","111.162,32","110.592,90",0,0,"33.763,00",
 CELIO STUDART BARBOSA,M,80,9,3,16,16,3, 19/06/1987,"330.702,47","42.405,28","77.088,77","34.915,78","50.390,81","46.271,91","22.564,85","25.601,39","14.560,40","4.343,55","12.409,73","150,00",0,"1.098.247,56","111.276,50","111.198,61","111.550,82","111.653,55","111.653,55","107.237,22","111.313,87","108.312,84","107.025,30","107.025,30",0,0,"33.763,00",
 CELSO UBIRAJARA RUSSOMANNO,M,89,1,2,30,3,5, 20/08/1956,"169.493,77","5.918,88","28.583,18","23.440,72","32.244,15","24.383,53","25.438,32","19.954,21","5.651,37","1.220,62","2.658,79","0,00",0,"1.026.873,67","96.961,81","98.308,99","100.425,40","103.329,11","103.522,12","104.152,03","107.493,07","105.272,98","103.828,92","103.579,24",0,0,"33.763,00",1
 CELSO SABINO DE OLIVEIRA,M,77,9,6,28,13,4, 29/08/1978,"335.516,25","35.687,11","41.271,47","41.719,51","35.533,17","53.029,49","42.929,38","37.781,33","16.249,92","14.266,05","16.996,32","52,50",0,"1.084.859,43","111.111,11","111.280,24","111.379,14","110.872,20","109.110,72","108.438,60","109.562,14","105.568,87","103.896,09","103.640,32",0,0,"33.763,00",1
 ANTONIO CEZAR CORREIA FREIRE,M,85,7,0,38,39,0, 12/12/1973,"322.276,68","37.003,29","36.167,38","38.256,80","50.290,01","47.505,37","20.781,53","34.316,10","29.210,00","16.683,05","11.517,09","546,06",0,"1.112.642,54","111.383,97","110.930,03","111.423,09","111.423,09","111.169,89","111.423,09","110.326,94","111.485,72","111.538,36","111.538,36",0,0,"33.763,00",
 CHARLES FERNANDES SILVEIRA SANTANA,M,90,1,1,35,6,0, 15/03/1965,"317.334,15","24.256,26","47.074,05","50.658,86","46.560,45","48.292,35","27.745,84","27.027,00","19.586,71","19.284,11","6.000,00","848,52",0,"1.112.836,72","111.439,65","111.389,19","111.507,90","111.507,88","110.522,28","111.149,99","111.433,52","111.507,87","111.507,87","110.870,57",0,0,"33.763,00",
 CHARLLES THOMACELLI EVANGELISTA,M,88,2,2,27,4,5, 27/12/1984,"267.395,69","22.449,08","36.430,49","47.122,47","36.668,39","49.948,09","24.701,10","21.331,84","25.587,97","1.432,93","1.723,33","0,00",0,"1.059.386,34","102.330,37","102.010,39","103.658,78","105.928,21","106.859,77","104.041,72","106.811,02","110.258,36","110.258,36","107.229,36",0,0,"33.763,00",
 FRANCISCO JOSÉ D'ANGELO PINTO,M,83,6,3,31,34,2, 11/02/1953,"280.812,50","31.896,36","27.273,29","30.877,95","43.620,43","41.207,47","32.636,24","30.772,24","20.679,40","17.785,93","4.063,19","0,00",0,"1.113.229,62","111.574,71","111.574,71","110.060,41","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.481,37",0,0,"33.763,00",
 CHRISTINO AUREO DA SILVA,M,87,0,5,22,7,7, 26/04/1962,"361.307,10","35.707,47","43.836,64","42.917,16","48.167,17","53.926,39","32.622,07","26.143,21","21.788,64","18.368,80","37.504,39","325,16",0,"1.111.010,04","111.412,57","111.647,36","107.066,29","111.310,13","111.604,92","111.604,92","111.604,92","111.604,92","111.585,50","111.568,51",0,0,"33.763,00",
 CLÁUDIO CAJADO SAMPAIO,M,81,1,10,24,1,2, 01/12/1963,"315.267,50","25.338,77","40.167,84","53.444,52","42.649,60","27.640,24","33.006,34","28.893,21","31.157,71","9.849,66","22.919,61","200,00",0,"1.102.608,00","111.538,31","107.663,10","107.365,01","108.851,14","111.611,11","111.611,11","111.611,11","111.611,11","111.611,11","109.134,89",0,0,"33.763,00",1
 JOÃO FRANCISCO INÁCIO BRAZÃO,M,84,8,0,50,4,0, 22/02/1962,"291.427,25","5.628,16","25.886,77","61.019,13","45.809,13","49.940,05","27.195,38","11.919,52","9.234,91","18.772,95","36.021,25","0,00",0,"1.114.045,59","111.623,18","110.117,12","110.943,03","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18",0,0,"33.763,00",
 CLEBER VERDE CORDEIRO MENDES,M,91,0,1,15,19,0, 10/05/1972,"272.909,88","14.582,42","18.944,35","47.074,36","45.118,81","99.276,90","13.222,16","16.834,74","8.782,05","4.751,79","4.322,30","0,00",0,"1.091.392,63","110.588,35","105.407,76","109.632,33","97.860,55","111.342,09","111.580,81","111.580,81","111.580,81","111.580,81","110.238,31",0,0,"33.763,00",
 LUIZ ARMANDO SCHROEDER REIS,M,84,4,4,40,1,0, 23/06/1957,"242.139,22","12.148,50","26.826,54","33.216,85","48.925,26","49.749,39","25.127,17","20.027,71","10.975,22","4.534,03","9.709,47","899,08",0,"1.092.037,31","101.236,10","103.071,39","111.201,67","110.216,08","110.773,16","111.095,62","111.269,37","111.508,09","111.508,09","110.157,74",0,0,"33.763,00",
 JOÃO CHRISÓSTOMO DE MOURA,M,89,3,0,68,35,0, 23/06/1959,"367.958,23","43.569,56","50.409,86","41.654,50","41.798,47","49.488,53","35.493,95","36.213,06","25.552,93","15.905,04","27.378,01","494,32",0,"1.064.563,22","107.323,44","106.208,72","102.467,86","107.196,50","98.159,34","108.000,77","107.946,98","108.363,78","109.587,98","109.307,85",0,0,"33.763,00",
 MARCIO TADEU ANHAIA DE LEMOS,M,88,4,0,61,14,0, 30/09/1965,"322.124,15","37.359,64","45.903,08","33.260,17","32.063,81","48.565,66","27.237,62","25.482,15","17.392,78","17.775,38","18.817,49","18.266,37",0,"1.088.567,27","111.127,47","109.317,63","107.351,00","101.360,55","110.345,01","108.448,48","106.340,00","111.358,01","111.459,56","111.459,56",0,0,"33.763,00",
 LUIS ANTONIO FRANCISCATTO COVATTI,M,89,3,0,33,12,1, 25/07/1987,"351.828,20","39.901,49","64.904,76","45.888,49","45.547,51","61.494,69","34.354,07","35.673,58","7.646,43","612,00","15.105,40","699,78",0,"1.087.781,16","110.922,09","111.617,12","107.422,09","109.771,87","110.840,89","108.844,64","97.398,86","110.212,41","110.288,12","110.463,07",0,0,"33.763,00",
 JOSIAS MARIO DA VITORIA,M,89,3,0,0,0,0, 02/06/1971,"336.091,49","39.721,75","61.373,19","36.361,78","48.373,97","37.143,23","27.515,03","30.632,01","27.567,15","23.415,71","3.962,95","24,72",0,"1.103.849,80","109.916,03","109.232,89","110.340,24","110.968,15","110.968,15","110.968,15","111.559,84","110.395,01","111.192,57","108.308,77",0,0,"33.763,00",
 GLAUBER DE MEDEIROS BRAGA,M,88,1,3,46,16,3, 26/06/1982,"240.784,34","17.256,11","31.524,84","46.990,34","41.104,72","43.161,14","26.199,00","21.782,77","8.772,04","3.355,87","637,51","0,00",0,"1.083.239,39","111.635,78","111.635,78","111.635,78","100.164,04","106.112,74","110.185,24","108.335,96","106.862,15","108.335,96","108.335,96",0,0,"33.763,00",
 DAGOBERTO NOGUEIRA FILHO,M,80,2,10,4,0,0, 21/07/1955,"386.909,13","33.561,82","43.913,03","45.172,41","46.082,30","39.158,72","43.879,61","41.129,03","39.057,91","31.905,09","23.049,21","0,00",0,"1.111.346,73","111.166,05","111.277,60","111.277,60","111.277,60","111.277,60","111.277,60","110.863,55","110.859,05","110.859,05","111.211,03",0,0,"33.763,00",
 CRISTIANO DUTRA VALE,M,80,0,12,25,3,5, 10/04/1970,"326.930,23","20.452,98","49.639,93","30.338,48","43.108,68","49.829,99","38.126,87","26.721,78","30.470,89","32.141,42","5.873,85","225,36",0,"1.053.658,38","110.040,22","103.847,89","110.040,22","105.919,51","103.859,15","98.892,22","97.650,62","104.977,00","107.755,43","110.676,12",0,0,"33.763,00",
 GLAUSKSTON BATISTA RIOS,M,73,12,7,10,2,2, 22/12/1973,"242.210,77","10.991,80","11.824,00","26.296,76","43.887,86","121.027,92","6.316,73","6.012,78","307,54","1,58","15.543,80","0,00",0,"1.092.158,14","111.277,44","110.313,37","111.653,47","111.653,47","111.653,47","111.548,53","99.804,96","101.249,81","111.501,81","111.501,81",0,0,"33.763,00",
 DAMIÃO FELICIANO DA SILVA,M,81,1,10,29,24,7, 28/04/1952,"296.601,23","33.696,89","30.513,30","45.137,92","53.251,62","39.985,25","21.830,00","19.723,61","12.971,79","10.939,09","27.967,01","584,75",0,"1.061.513,65","111.054,03","106.603,56","94.753,60","91.868,67","107.855,77","111.429,12","111.429,12","109.759,06","107.977,67","108.783,05",0,0,"33.763,00",
 LUIZ GONZAGA PATRIOTA,M,80,6,6,28,25,7, 26/04/1946,"303.093,71","22.780,56","36.532,80","44.638,78","37.071,52","47.392,53","33.365,05","14.810,82","24.195,76","14.592,64","21.187,43","6.525,82",0,"1.115.718,01","111.537,98","111.533,39","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83",0,0,"33.763,00",
 JOSÉ GUILHERME NEGRÃO PEIXOTO,M,92,0,0,20,12,0, 13/11/1961,"245.565,09","20.164,29","30.365,65","19.433,99","27.096,29","44.132,42","31.276,49","28.081,91","26.381,12","12.089,61","5.804,07","739,25",0,"1.064.377,63","108.657,03","110.067,97","109.025,07","109.756,34","109.965,86","101.721,15","95.424,72","107.166,92","106.267,03","106.325,54",0,0,"33.763,00",
 GUILHERME MUSSI FERREIRA,M,55,22,15,0,1,2, 14/10/1982,"167.260,89","13.411,67","40.786,13","29.938,94","21.082,66","27.120,16","3.643,94","8.274,08","7.555,10","5.000,20","10.287,16","160,85",0,"1.113.779,92","111.423,08","111.370,21","110.695,37","111.335,52","111.363,58","111.326,61","111.432,25","111.611,10","111.611,10","111.611,10",0,0,"33.763,00",
 GUSTAVO BONATO FRUET,M,91,0,1,26,1,0, 18/04/1963,"371.154,57","51.898,88","69.808,76","56.026,78","68.837,63","47.334,53","23.097,35","16.604,91","8.174,92","2.810,21","26.188,67","371,93",0,"1.063.279,34","105.805,10","106.054,78","106.054,78","106.054,78","106.054,78","106.019,19","103.701,22","103.701,22","108.481,10","111.352,39",0,0,"33.763,00",
 JOÃO CARLOS SOARES GURGEL,M,91,1,0,45,9,0, 02/12/1980,"297.700,37","30.854,01","50.602,99","53.138,70","41.056,98","41.300,20","29.009,30","16.063,62","23.894,73","4.534,47","7.038,58","206,79",0,"1.043.331,18","108.173,01","94.076,65","98.798,22","97.414,57","105.810,92","106.438,09","111.465,45","110.479,86","110.137,04","100.537,37",0,0,"33.763,00",1
 LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,M,76,8,8,9,17,3, 16/02/1982,"294.493,37","6.994,32","72.060,11","19.440,13","61.050,02","53.501,99","62.592,98","9.368,45","5.296,21","4.189,16","0,00","0,00",0,"1.116.716,10","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61",0,0,"33.763,00",
 GUTEMBERG REIS DE OLIVEIRA,M,80,12,0,28,19,0, 09/09/1979,"319.328,21","31.811,03","37.058,19","39.957,54","35.397,82","39.003,29","35.548,76","35.184,90","23.289,89","18.535,79","21.346,48","2.194,52",0,"1.113.305,50","111.586,82","111.586,82","110.729,78","110.789,77","111.586,82","111.146,85","111.458,26","111.246,74","111.586,82","111.586,82",0,0,"33.763,00",
 HEITOR RODRIGO PEREIRA FREIRE,M,79,0,13,21,30,20, 08/10/1981,"426.134,22","44.459,28","22.147,14","58.578,83","44.388,99","47.573,98","24.699,86","52.243,35","24.034,75","32.084,10","75.923,94","0,00",0,"1.106.657,50","111.447,23","110.953,30","110.359,50","110.475,29","111.481,10","109.817,62","111.314,25","111.150,06","110.377,84","109.281,31",0,0,"33.763,00",1
 HEITOR JOSE SCHUCH,M,77,3,12,27,4,4, 25/03/1962,"313.545,08","17.534,05","27.229,69","41.738,13","47.628,10","71.235,90","26.290,08","28.128,15","20.506,74","21.382,34","10.961,55","910,35",0,"1.079.158,20","107.595,60","107.595,60","107.595,60","110.706,76","111.653,64","111.528,48","108.951,61","106.686,31","103.422,30","103.422,30",0,0,"33.763,00",
 HELIO LEITE DA SILVA,M,86,3,3,26,39,0, 09/12/1957,"311.501,18","38.353,51","33.114,24","50.848,23","40.083,76","82.360,81","17.710,54","18.649,82","15.787,41","9.152,86","5.140,00","300,00",0,"1.115.311,38","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.467,04",0,0,"33.763,00",
 HERCÍLIO ARAÚJO DINIZ FILHO,M,55,8,29,11,2,21, 14/09/1963,"(None,)","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"827.780,45","59.693,74","59.290,57","59.989,38","63.388,82","84.017,68","96.088,28","107.430,80","108.274,93","108.274,93","81.331,32",0,0,"33.763,00",
 HELDER IGNACIO SALOMAO,M,88,1,3,35,11,9, 08/03/1964,"288.776,51","22.858,70","46.569,54","43.715,68","35.739,34","39.193,71","25.804,13","25.901,62","20.309,17","15.007,85","13.093,49","583,28",0,"1.100.336,27","108.620,67","108.620,67","108.620,67","108.620,67","108.620,67","111.370,72","111.465,55","111.465,55","111.465,55","111.465,55",0,0,"33.763,00",
 HÉLIO FRANCISCO DA COSTA,M,86,0,6,41,11,4, 03/03/1954,"363.010,49","30.626,82","25.895,84","42.089,22","59.253,62","53.304,15","42.968,62","28.285,02","47.223,51","18.135,05","12.970,51","2.258,13",0,"1.077.630,46","108.966,57","108.966,57","105.181,11","107.906,65","111.392,87","111.392,87","111.392,87","110.279,50","111.392,87","90.758,58",0,0,"33.763,00",
 HERCULANO CASTILHO PASSOS JUNIOR,M,87,2,3,38,4,8, 04/08/1956,"354.756,78","64.046,08","40.932,16","37.578,21","27.556,28","42.217,44","32.275,57","29.438,11","26.350,96","36.350,30","17.507,24","504,43",0,"1.064.843,64","111.004,62","107.856,45","107.856,45","110.100,81","104.656,25","104.938,80","100.880,76","102.189,81","104.938,80","110.420,89",0,0,"33.763,00",
 HELIO FERNANDO BARBOSA LOPES,M,85,5,2,11,19,2, 28/03/1969,"325.927,32","25.399,76","20.129,73","20.908,71","15.959,57","126.009,87","40.424,07","19.559,06","19.728,52","21.207,48","15.998,68","601,87",0,"1.080.153,53","100.983,71","100.983,71","105.907,19","107.619,71","109.879,71","110.955,90","110.955,90","110.955,90","110.955,90","110.955,90",0,0,"33.763,00",
 HENRIQUE FONTANA JÚNIOR,M,87,2,3,10,8,2, 18/01/1960,"243.460,56","15.878,57","12.589,61","38.772,48","30.692,56","39.615,05","29.232,23","31.433,45","19.791,30","9.180,71","16.274,60","0,00",0,"1.085.460,81","111.204,73","110.084,73","107.446,09","105.775,84","105.862,69","107.355,35","110.206,59","105.283,68","110.660,36","111.580,75",0,0,"33.763,00",
 HERMES PARCIANELLO,M,76,11,5,0,24,0, 25/04/1958,"323.233,63","23.550,01","91.180,85","21.686,73","22.782,96","98.142,11","27.564,61","19.639,11","9.399,11","6.442,33","2.845,81","0,00",0,"1.105.379,72","111.531,28","111.653,59","111.465,33","111.601,60","110.761,67","111.617,19","108.353,75","111.617,15","110.465,86","106.312,30",0,0,"33.763,00",
 HUGO MOTTA WANDERLEY DA NÓBREGA,M,78,5,9,0,18,6, 11/09/1989,"301.355,97","42.647,30","52.115,97","50.321,06","50.233,24","33.832,88","19.843,09","21.744,93","18.363,15","3.118,39","8.465,44","670,52",0,"1.116.001,70","111.572,21","111.586,88","111.586,88","111.586,88","111.552,45","111.623,28","111.623,28","111.623,28","111.623,28","111.623,28",0,0,"33.763,00",
 HIRAN MANUEL GONCALVES DA SILVA,M,77,11,4,27,18,3, 19/06/1957,"375.045,21","34.740,26","45.379,55","50.365,66","68.428,93","60.380,39","35.706,97","31.871,73","12.574,08","14.926,10","20.671,54","0,00",0,"1.028.036,37","81.241,74","91.423,62","101.326,80","102.815,66","102.432,93","106.282,44","110.906,64","111.574,66","111.574,66","108.457,22",0,0,"33.763,00",1
 HILDO AUGUSTO DA ROCHA NETO,M,88,1,3,47,12,1, 22/04/1960,"325.842,21","37.771,29","41.668,52","63.474,79","41.172,58","35.711,78","37.398,45","27.224,54","14.043,48","2.003,75","25.192,94","180,09",0,"1.010.908,87","111.592,93","111.592,93","111.065,20","111.592,93","111.592,93","107.958,49","84.561,70","86.983,92","86.983,92","86.983,92",0,0,"33.763,00",4
 HUGO LEAL MELO DA SILVA,M,83,7,2,70,31,1, 06/08/1962,"256.116,73","40.671,93","32.691,99","28.417,24","37.481,29","39.390,80","39.996,77","11.917,66","7.954,59","11.414,08","5.766,53","413,85",0,"966.873,05","101.280,05","101.256,77","102.301,08","103.730,03","106.151,93","99.244,75","96.057,39","87.682,43","83.827,22","85.341,40",0,0,"33.763,00",
 LUIZ BENES LEOCADIO DE ARAUJO,M,88,1,3,35,6,2, 22/04/1966,"344.846,46","32.697,33","37.181,80","51.640,86","47.232,83","43.851,34","39.594,20","33.482,93","21.709,18","17.997,68","19.068,31","390,00",0,"1.070.001,74","110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",0,0,"33.763,00",
 HUMBERTO REZENDE PEREIRA,M,87,3,2,29,42,3, 14/11/1977,"317.620,57","31.302,38","37.733,45","46.071,17","46.424,41","43.050,57","37.786,28","29.839,31","16.128,37","5.877,55","23.407,08","0,00",0,"1.114.088,41","111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",0,0,"33.763,00",
 JOSÉ ROBERTO OLIVEIRA FARO,M,82,10,0,5,17,0, 20/06/1969,"343.680,40","50.640,64","51.528,80","51.595,33","38.245,47","56.264,93","15.343,49","16.815,59","14.152,72","12.879,36","8.054,07","28.160,00",0,"1.107.132,60","111.210,84","110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45",0,0,"33.763,00",
 CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,77,2,13,18,7,9, 01/02/1982,"411.553,49","37.157,27","49.871,28","47.518,82","51.520,30","44.584,40","32.245,60","35.040,79","36.239,48","25.857,60","51.517,95","0,00",0,"1.114.457,24","111.436,53","111.580,74","111.495,03","111.145,61","111.498,95","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01",0,0,"33.763,00",
 UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,82,0,10,21,26,10, 01/11/1968,"387.766,48","20.679,85","23.825,08","34.402,73","76.284,21","96.746,00","27.251,80","28.044,88","18.372,93","31.746,67","30.336,85","75,48",0,"1.115.746,50","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65",0,0,"33.763,00",
 OLAVO BILAC PINTO NETO,M,80,7,5,54,7,3, 08/06/1963,"366.957,28","38.107,55","39.391,23","36.766,95","36.370,18","36.320,33","35.989,93","35.978,06","36.058,35","36.004,29","35.970,41","0,00",0,"1.114.014,41","111.532,26","111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26",0,0,"33.763,00",
 ALCIBIO MESQUITA BIBO NUNES,M,90,1,1,33,23,0, 09/01/1957,"439.324,04","36.377,50","114.136,35","111.815,04","46.216,96","43.243,88","31.393,94","31.363,41","20.069,13","4.504,01","203,82","0,00",0,"978.080,61","107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",0,0,"33.763,00",
 JOÃO BOSCO DA COSTA,M,88,2,2,37,9,0, 28/09/1950,"377.536,38","31.663,79","50.001,03","50.347,54","42.678,14","42.852,09","50.270,89","42.871,55","39.751,16","27.086,09","14,10","0,00",0,"1.096.871,16","109.107,22","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","106.200,33","104.641,61","107.654,94",0,0,"33.763,00",
 CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,71,16,5,12,14,3, 03/11/1979,"366.087,19","30.097,59","41.252,22","49.713,11","49.721,69","45.749,21","41.212,41","38.074,00","37.034,37","15.502,42","17.509,15","221,02",0,"1.084.232,34","107.850,28","108.483,94","109.030,38","109.215,09","109.215,09","107.121,98","105.670,31","109.215,09","109.215,09","109.215,09",0,0,"33.763,00",
